month,reviewCount,season
January,262,Winter
February,70,Spring
March,90,Spring
April,101,Spring
May,105,Summer
June,162,Summer
July,167,Summer
August,111,Monsoon
September,89,Monsoon
October,7783,Monsoon
November,319,Winter
December,96,Winter
