month,reviewCount,season
January,349,Winter
February,288,Spring
March,138,Spring
April,132,Spring
May,108,Summer
June,153,Summer
July,221,Summer
August,117,Monsoon
September,133,Monsoon
October,185,Monsoon
November,264,Winter
December,28318,Winter
