month,reviewCount,season
January,21,Winter
February,17,Spring
March,16,Spring
April,12,Spring
May,7,Summer
June,11,Summer
July,14,Summer
August,7,Monsoon
September,19,Monsoon
October,211,Monsoon
November,11,Winter
December,14,Winter
