month,reviewCount,season
January,317,Winter
February,147,Spring
March,131,Spring
April,220,Spring
May,183,Summer
June,292,Summer
July,216,Summer
August,195,Monsoon
September,140,Monsoon
October,196,Monsoon
November,273,Winter
December,7689,Winter
