month,reviewCount,season
January,55,Winter
February,39,Spring
March,239,Spring
April,646,Spring
May,4,Summer
June,970,Summer
July,1787,Summer
August,1714,Monsoon
September,2211,Monsoon
October,3508,Monsoon
November,44,Winter
December,27,Winter
