month,reviewCount,season
January,456,Winter
February,344,Spring
March,214,Spring
April,130,Spring
May,95,Summer
June,233,Summer
July,285,Summer
August,236,Monsoon
September,179,Monsoon
October,30012,Monsoon
November,471,Winter
December,439,Winter
