month,reviewCount,season
January,579,Winter
February,418,Spring
March,250,Spring
April,214,Spring
May,112,Summer
June,158,Summer
July,136,Summer
August,115,Monsoon
September,170,Monsoon
October,203,Monsoon
November,351,Winter
December,34863,Winter
