month,reviewCount,season
January,11,Winter
February,11,Spring
March,7,Spring
April,10,Spring
May,8,Summer
June,10,Summer
July,9,Summer
August,13,Monsoon
September,10,Monsoon
October,8,Monsoon
November,11,Winter
December,1978,Winter
