month,reviewCount,season
January,381,Winter
February,234,Spring
March,119,Spring
April,79,Spring
May,60,Summer
June,102,Summer
July,157,Summer
August,211,Monsoon
September,169,Monsoon
October,164,Monsoon
November,287,Winter
December,18803,Winter
