month,reviewCount,season
January,145,Winter
February,117,Spring
March,34,Spring
April,17,Spring
May,25,Summer
June,29,Summer
July,41,Summer
August,60,Monsoon
September,31,Monsoon
October,25,Monsoon
November,37,Winter
December,23408,Winter
