month,reviewCount,season
January,4,Winter
February,12,Spring
March,4,Spring
April,5,Spring
May,3,Summer
June,8,Summer
July,7,Summer
August,12,Monsoon
September,8,Monsoon
October,289,Monsoon
November,3,Winter
December,5,Winter
