month,reviewCount,season
January,17,Winter
February,12,Spring
March,12,Spring
April,12,Spring
May,8,Summer
June,4,Summer
July,7,Summer
August,2,Monsoon
September,8,Monsoon
October,8,Monsoon
November,4,Winter
December,2405,Winter
