month,reviewCount,season
January,0,Winter
February,0,Spring
March,0,Spring
April,548,Spring
May,732,Summer
June,716,Summer
July,1273,Summer
August,1370,Monsoon
September,1458,Monsoon
October,806,Monsoon
November,1610,Winter
December,1485,Winter
