month,reviewCount,season
January,1187,Winter
February,919,Spring
March,898,Spring
April,377,Spring
May,0,Summer
June,225,Summer
July,469,Summer
August,418,Monsoon
September,466,Monsoon
October,575,Monsoon
November,840,Winter
December,23625,Winter
