month,reviewCount,season
January,354,Winter
February,146,Spring
March,96,Spring
April,76,Spring
May,40,Summer
June,46,Summer
July,60,Summer
August,107,Monsoon
September,131,Monsoon
October,126,Monsoon
November,165,Winter
December,8652,Winter
