month,reviewCount,season
January,568,Winter
February,175,Spring
March,54,Spring
April,28,Spring
May,28,Summer
June,28,Summer
July,39,Summer
August,28,Monsoon
September,60,Monsoon
October,60,Monsoon
November,103,Winter
December,14494,Winter
