month,reviewCount,season
January,3485,Winter
February,2131,Spring
March,1375,Spring
April,1383,Spring
May,1425,Summer
June,1831,Summer
July,1621,Summer
August,1340,Monsoon
September,1475,Monsoon
October,2372,Monsoon
November,3222,Winter
December,9139,Winter
