month,reviewCount,season
January,47,Winter
February,42,Spring
March,19,Spring
April,24,Spring
May,27,Summer
June,49,Summer
July,43,Summer
August,5,Monsoon
September,10,Monsoon
October,21,Monsoon
November,33,Winter
December,4344,Winter
