month,reviewCount,season
January,120,Winter
February,85,Spring
March,111,Spring
April,149,Spring
May,178,Summer
June,192,Summer
July,121,Summer
August,63,Monsoon
September,58,Monsoon
October,88,Monsoon
November,171,Winter
December,7341,Winter
