month,reviewCount,season
January,8,Winter
February,3,Spring
March,7,Spring
April,6,Spring
May,5,Summer
June,9,Summer
July,5,Summer
August,1,Monsoon
September,1,Monsoon
October,0,Monsoon
November,0,Winter
December,2913,Winter
