month,reviewCount,season
January,52,Winter
February,26,Spring
March,30,Spring
April,12,Spring
May,10,Summer
June,9,Summer
July,8,Summer
August,15,Monsoon
September,15,Monsoon
October,7,Monsoon
November,20,Winter
December,1211,Winter
