month,reviewCount,season
January,265,Winter
February,234,Spring
March,253,Spring
April,278,Spring
May,252,Summer
June,133,Summer
July,223,Summer
August,178,Monsoon
September,211,Monsoon
October,205,Monsoon
November,147,Winter
December,27620,Winter
