month,reviewCount,season
January,104,Winter
February,59,Spring
March,74,Spring
April,100,Spring
May,52,Summer
June,68,Summer
July,38,Summer
August,99,Monsoon
September,63,Monsoon
October,40,Monsoon
November,68,Winter
December,4644,Winter
